,date,time,x,y,z,label
361,2018-10-30,1:0:51,-1.62494464,-6.39946198,7.31261008,laying
362,2018-10-30,1:0:52,-1.6304513,-6.38892738,7.3190745,laying
363,2018-10-30,1:0:53,-1.6364368,-6.39012458,7.31548305,laying
364,2018-10-30,1:0:54,-1.6340426,-6.3973072,7.32386288,laying
365,2018-10-30,1:0:55,-1.62590232,-6.39850428,7.31165234,laying
366,2018-10-30,1:0:56,-1.6292542,-6.38413905,7.33343962,laying
367,2018-10-30,1:0:57,-1.6364368,-6.38533603,7.31069475,laying
368,2018-10-30,1:3:33,-1.3860033,-3.26209982,9.221986,laying
369,2018-10-30,1:3:34,-1.5801731,-3.3506854,9.16859525,laying
370,2018-10-30,1:3:35,-1.5574282,-3.39617518,9.1243025,laying
371,2018-10-30,1:3:36,-1.53468328,-3.3782186,9.1841575,laying
372,2018-10-30,1:3:37,-1.61297364,-3.31860306,9.2042686,laying
